ticker,vol,avg_vol,doll_vol,price,price_change,indicator
SPY,59.97,154.07,16760.0,279.52,+2.0%,
QQQ,22.41,89.03,4500.0,200.85,+0.1%,
AAPL,13.13,66.15,3490.0,265.79,-0.1%,Analyst Report
TSLA,5.76,19.62,3260.0,565.89,+3.0%,Analyst ReportAnalyst Revision
AMZN,1.56,7.14,3170.0,2030.0,-0.6%,Analyst Report
MSFT,16.71,72.14,2750.0,164.73,-0.2%,Analyst Report
BA,12.81,44.79,1980.0,154.43,+4.9%,Analyst Upgrade
UTX,26.51,12.82,1660.0,62.62,+7.8%,High Trading Volume
TQQQ,25.41,43.4,1370.0,54.07,-0.7%,
STI,18.95,2.22,1330.0,70.13,flat,Upcoming Earnings
AMD,25.49,90.7,1260.0,49.32,+1.1%,Analyst Upgrade
DIS,11.3,27.95,1190.0,105.05,+3.8%,Analyst ReportAnalyst Revision
JPM,11.57,31.83,1170.0,100.89,+6.5%,Upcoming EarningsAnalyst Report
FB,6.58,30.07,1140.0,172.73,-0.9%,Analyst ReportAnalyst Revision
NVDA,4.18,18.62,1100.0,263.42,-1.3%,Insider Selling
VIAB,41.87,5.05,1010.0,24.22,flat,High Trading Volume
TSS,7.59,1.09,1010.0,133.27,flat,
DAL,38.21,49.61,940.46,24.61,+5.6%,Analyst ReportUnusual Options Activity
AVP,165.16,92.65,924.89,5.6,flat,
BABA,4.58,18.74,902.11,197.16,+0.6%,
VXXB,20.8,19.83,881.98,42.4,-2.4%,
NFLX,2.34,9.03,859.02,366.88,-1.2%,Analyst Report
BAC,34.85,116.68,856.31,24.57,+4.6%,Upcoming EarningsAnalyst Report
CCL,60.73,95.17,803.82,13.24,+9.4%,Analyst UpgradeInsider BuyingAnalyst Revision
GOOGL,0.65,3.64,779.95,1205.53,-0.1%,Analyst ReportAnalyst Revision
RCL,18.43,27.56,779.74,42.3,+11.2%,Analyst Report
DIA,3.25,6.72,775.15,238.81,+1.9%,
GLD,4.82,14.25,762.89,158.42,+2.4%,
WCG,2.06,0.55,722.05,349.92,flat,High Trading VolumeHeavy News Reporting
C,14.92,35.27,713.05,47.8,+7.4%,Upcoming EarningsAnalyst Report
COST,2.34,5.29,702.43,299.86,-2.0%,Analyst Report
GOOG,0.58,3.26,700.71,1208.39,-0.2%,Analyst ReportAnalyst Revision
UAL,21.99,26.93,699.65,31.82,+13.5%,Analyst Report
XOM,15.17,53.27,698.99,46.08,+4.8%,Analyst Upgrade
INTC,11.57,41.79,665.62,57.54,-2.5%,Analyst Upgrade
WFC,20.15,49.37,664.44,32.98,+8.2%,Upcoming EarningsAnalyst Report
AAL,50.83,71.45,652.34,12.84,+11.8%,Analyst Downgrade
V,3.5,19.16,612.27,174.81,-0.1%,Analyst Report
EEM,16.15,86.32,581.16,35.98,+1.4%,
OXY,32.63,52.41,572.4,17.54,+11.3%,
USO,98.42,65.05,546.28,5.55,+3.2%,
BRK.B,2.76,12.33,542.18,196.36,+2.7%,
ZM,4.53,16.16,529.65,116.81,-0.9%,Analyst Downgrade
JNK,5.1,9.69,517.35,101.38,+6.0%,
SBUX,6.94,21.02,499.63,71.98,+0.6%,Analyst DowngradeAnalyst Revision
GDX,17.51,67.58,497.61,28.42,+7.8%,Heavy News Reporting
MA,1.8,9.67,490.9,272.88,+0.7%,Analyst ReportAnalyst Revision
SPXL,15.07,17.7,486.3,32.27,+5.1%,Heavy News Reporting
XLK,5.53,20.91,472.71,85.48,+0.4%,
RTX,6.93,13.79,469.5,67.78,+7.6%,Analyst ReportHeavy News Reporting
IWM,3.68,33.72,453.93,123.51,+4.4%,
SHOP,1.04,3.3,444.02,427.46,+3.0%,Analyst Report
IVV,1.55,8.61,433.5,279.22,+1.5%,
BKNG,0.29,0.85,410.25,1429.92,+4.0%,Analyst Report
MU,8.14,38.93,393.76,48.38,+0.2%,
JNJ,2.76,16.55,391.8,142.08,-0.8%,Upcoming EarningsAnalyst Report
CVX,4.37,21.65,381.28,87.24,+1.4%,Analyst Report
WMT,3.08,14.52,373.54,121.42,-0.3%,Analyst Report
SPXU,19.86,20.94,353.55,17.8,-6.3%,
NEE,1.43,4.6,351.1,246.26,+5.2%,
HD,1.73,10.17,350.97,203.12,+4.1%,Analyst ReportAnalyst Revision
T,11.5,63.95,348.65,30.31,+1.4%,Analyst Report
GS,1.9,5.92,348.56,183.9,+3.8%,Upcoming EarningsAnalyst Report
WYNN,4.8,8.7,343.45,71.51,+3.4%,Analyst Upgrade
BRK/B,1.71,0.0,334.93,196.08,+8.2%,
VTI,2.4,7.24,334.33,139.23,+1.7%,Heavy News Reporting
CMG,0.41,1.11,314.05,766.68,+5.4%,Analyst Downgrade
IEFA,5.98,0.0,308.7,51.59,+1.7%,
ADBE,0.96,5.74,304.61,317.33,+0.0%,
CSCO,7.4,40.55,304.31,41.1,-1.6%,Analyst Report
F,54.16,123.87,303.59,5.61,+10.3%,
UNH,1.15,7.79,303.16,263.84,-1.5%,Upcoming Earnings
PYPL,2.85,12.62,301.01,105.63,+0.5%,Analyst ReportAnalyst Revision
CRM,1.88,10.58,289.44,153.89,+1.8%,Insider SellingAnalyst Revision
GILD,3.86,23.96,283.34,73.32,-2.3%,Analyst ReportInsider Selling
HYG,3.41,38.62,280.82,82.43,+6.2%,
TNA,14.13,7.61,276.6,19.58,+10.7%,
NCLH,20.05,13.2,274.76,13.71,+14.4%,Analyst Report
MAR,3.23,10.9,274.63,85.06,+3.0%,Analyst Report
MRK,3.25,16.54,266.69,82.08,+0.6%,
GE,35.08,112.39,256.58,7.32,+0.3%,Analyst Report
QCOM,3.46,14.7,249.51,72.17,-1.6%,Analyst Downgrade
APA,25.06,24.51,245.37,9.79,+22.6%,Analyst ReportInsider Buying
KO,4.92,31.12,242.89,49.37,+3.1%,
TVIX,0.94,11.66,239.86,255.08,-1.5%,
NEM,4.28,11.37,238.95,55.8,+9.4%,Analyst ReportInsider SellingAnalyst Revision
